"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.64.3","192.168.64.2","TCP","76","39902  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3858450511 TSecr=0 WS=128"
"2","0.000091708","192.168.64.2","192.168.64.3","TCP","76","5000  >  39902 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2016268356 TSecr=3858450511 WS=128"
"3","0.000603585","192.168.64.3","192.168.64.2","TCP","68","39902  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3858450512 TSecr=2016268356"
"4","0.000831252","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=40 TSval=3858450512 TSecr=2016268356"
"5","0.000842669","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=41 Win=65152 Len=0 TSval=2016268357 TSecr=3858450512"
"6","1.003905885","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=41 Ack=1 Win=64256 Len=40 TSval=3858451515 TSecr=2016268357"
"7","1.003956552","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=81 Win=65152 Len=0 TSval=2016269360 TSecr=3858451515"
"8","2.005742427","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=81 Ack=1 Win=64256 Len=40 TSval=3858452517 TSecr=2016269360"
"9","2.005845927","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=121 Win=65152 Len=0 TSval=2016270362 TSecr=3858452517"
"10","3.010785977","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=121 Ack=1 Win=64256 Len=40 TSval=3858453520 TSecr=2016270362"
"11","3.010866644","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=161 Win=65152 Len=0 TSval=2016271367 TSecr=3858453520"
"12","4.011841759","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=161 Ack=1 Win=64256 Len=40 TSval=3858454523 TSecr=2016271367"
"13","4.011874884","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=201 Win=65152 Len=0 TSval=2016272368 TSecr=3858454523"
"14","5.012878414","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=201 Ack=1 Win=64256 Len=40 TSval=3858455524 TSecr=2016272368"
"15","5.012899164","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=241 Win=65152 Len=0 TSval=2016273369 TSecr=3858455524"
"16","6.014521734","192.168.64.3","192.168.64.2","TCP","108","39902  >  5000 [PSH, ACK] Seq=241 Ack=1 Win=64256 Len=40 TSval=3858456525 TSecr=2016273369"
"17","6.014590442","192.168.64.2","192.168.64.3","TCP","68","5000  >  39902 [ACK] Seq=1 Ack=281 Win=65152 Len=0 TSval=2016274371 TSecr=3858456525"
