"No.","Time","Source","Destination","Protocol","Length","Info"
"84","40.138419476","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1601 Ack=1 Win=64256 Len=40 TSval=3857230847 TSecr=2015047587"
"85","40.138461309","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1641 Win=65152 Len=0 TSval=2015048590 TSecr=3857230847"
"86","41.143808651","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1641 Ack=1 Win=64256 Len=40 TSval=3857231852 TSecr=2015048590"
"87","41.143925235","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1681 Win=65152 Len=0 TSval=2015049596 TSecr=3857231852"
"88","42.145157724","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1681 Ack=1 Win=64256 Len=40 TSval=3857232853 TSecr=2015049596"
"89","42.145258391","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1721 Win=65152 Len=0 TSval=2015050597 TSecr=3857232853"
"90","43.147505595","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1721 Ack=1 Win=64256 Len=40 TSval=3857233856 TSecr=2015050597"
"91","43.147622137","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1761 Win=65152 Len=0 TSval=2015051599 TSecr=3857233856"
"92","44.152577398","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1761 Ack=1 Win=64256 Len=40 TSval=3857234861 TSecr=2015051599"
"93","44.152716982","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1801 Win=65152 Len=0 TSval=2015052604 TSecr=3857234861"
"94","45.156588488","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1801 Ack=1 Win=64256 Len=40 TSval=3857235865 TSecr=2015052604"
"95","45.156647697","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1841 Win=65152 Len=0 TSval=2015053608 TSecr=3857235865"
"96","46.161988963","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1841 Ack=1 Win=64256 Len=40 TSval=3857236870 TSecr=2015053608"
"97","46.162116880","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1881 Win=65152 Len=0 TSval=2015054614 TSecr=3857236870"
"98","47.166147432","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1881 Ack=1 Win=64256 Len=40 TSval=3857237874 TSecr=2015054614"
"99","47.166281974","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1921 Win=65152 Len=0 TSval=2015055618 TSecr=3857237874"
"100","48.169463690","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1921 Ack=1 Win=64256 Len=40 TSval=3857238877 TSecr=2015055618"
"101","48.169569815","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=1961 Win=65152 Len=0 TSval=2015056621 TSecr=3857238877"
"102","49.171682319","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1961 Ack=1 Win=64256 Len=40 TSval=3857239879 TSecr=2015056621"
"103","49.171830069","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2001 Win=65152 Len=0 TSval=2015057623 TSecr=3857239879"
"104","50.174613494","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2001 Ack=1 Win=64256 Len=40 TSval=3857240883 TSecr=2015057623"
"105","50.174671369","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2041 Win=65152 Len=0 TSval=2015058626 TSecr=3857240883"
"106","51.180913855","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2041 Ack=1 Win=64256 Len=40 TSval=3857241888 TSecr=2015058626"
"107","51.181051814","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2081 Win=65152 Len=0 TSval=2015059633 TSecr=3857241888"
"108","52.184819746","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2081 Ack=1 Win=64256 Len=40 TSval=3857242892 TSecr=2015059633"
"109","52.184924455","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2121 Win=65152 Len=0 TSval=2015060637 TSecr=3857242892"
"110","53.188710347","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2121 Ack=1 Win=64256 Len=40 TSval=3857243896 TSecr=2015060637"
"111","53.188843889","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2161 Win=65152 Len=0 TSval=2015061640 TSecr=3857243896"
"112","54.193379036","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2161 Ack=1 Win=64256 Len=40 TSval=3857244901 TSecr=2015061640"
"113","54.193478495","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2201 Win=65152 Len=0 TSval=2015062645 TSecr=3857244901"
"114","55.197959976","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2201 Ack=1 Win=64256 Len=40 TSval=3857245905 TSecr=2015062645"
"115","55.198090268","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2241 Win=65152 Len=0 TSval=2015063650 TSecr=3857245905"
"116","56.200344156","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2241 Ack=1 Win=64256 Len=40 TSval=3857246907 TSecr=2015063650"
"117","56.200535115","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2281 Win=65152 Len=0 TSval=2015064652 TSecr=3857246907"
