"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.64.3","192.168.64.2","TCP","76","56330  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3858949493 TSecr=0 WS=128"
"2","0.000040711","192.168.64.2","192.168.64.3","TCP","76","5000  >  56330 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2016767373 TSecr=3858949493 WS=128"
"3","0.000411357","192.168.64.3","192.168.64.2","TCP","68","56330  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3858949494 TSecr=2016767373"
"4","0.000557824","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=40 TSval=3858949494 TSecr=2016767373"
"5","0.000565616","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=41 Win=65152 Len=0 TSval=2016767373 TSecr=3858949494"
"6","1.005150888","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=41 Ack=1 Win=64256 Len=40 TSval=3858950499 TSecr=2016767373"
"7","1.005246810","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=81 Win=65152 Len=0 TSval=2016768378 TSecr=3858950499"
"8","2.006409357","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=81 Ack=1 Win=64256 Len=40 TSval=3858951501 TSecr=2016768378"
"9","2.006452818","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=121 Win=65152 Len=0 TSval=2016769379 TSecr=3858951501"
"10","3.010471588","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=121 Ack=1 Win=64256 Len=40 TSval=3858952505 TSecr=2016769379"
"11","3.010557884","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=161 Win=65152 Len=0 TSval=2016770383 TSecr=3858952505"
"12","4.014057211","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=161 Ack=1 Win=64256 Len=40 TSval=3858953509 TSecr=2016770383"
"13","4.014163967","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=201 Win=65152 Len=0 TSval=2016771387 TSecr=3858953509"
"14","5.018140809","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=201 Ack=1 Win=64256 Len=40 TSval=3858954514 TSecr=2016771387"
"15","5.018252315","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=241 Win=65152 Len=0 TSval=2016772391 TSecr=3858954514"
"16","6.018127895","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=241 Ack=1 Win=64256 Len=40 TSval=3858955515 TSecr=2016772391"
"17","6.018197731","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=281 Win=65152 Len=0 TSval=2016773391 TSecr=3858955515"
"18","7.019462607","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=281 Ack=1 Win=64256 Len=40 TSval=3858956516 TSecr=2016773391"
"19","7.019582905","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=321 Win=65152 Len=0 TSval=2016774392 TSecr=3858956516"
"20","8.022391287","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=321 Ack=1 Win=64256 Len=40 TSval=3858957520 TSecr=2016774392"
"21","8.022506543","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=361 Win=65152 Len=0 TSval=2016775395 TSecr=3858957520"
"22","9.023261657","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=361 Ack=1 Win=64256 Len=40 TSval=3858958521 TSecr=2016775395"
"23","9.023360870","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=401 Win=65152 Len=0 TSval=2016776396 TSecr=3858958521"
"24","10.024952435","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=401 Ack=1 Win=64256 Len=40 TSval=3858959523 TSecr=2016776396"
"25","10.025085025","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=441 Win=65152 Len=0 TSval=2016777398 TSecr=3858959523"
"26","11.025531052","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=441 Ack=1 Win=64256 Len=40 TSval=3858960524 TSecr=2016777398"
"27","11.025661225","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=481 Win=65152 Len=0 TSval=2016778398 TSecr=3858960524"
"28","12.027903925","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=481 Ack=1 Win=64256 Len=40 TSval=3858961527 TSecr=2016778398"
"29","12.028038848","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=521 Win=65152 Len=0 TSval=2016779401 TSecr=3858961527"
"30","13.029859364","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=521 Ack=1 Win=64256 Len=40 TSval=3858962530 TSecr=2016779401"
"31","13.029996078","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=561 Win=65152 Len=0 TSval=2016780403 TSecr=3858962530"
"32","14.031065796","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=561 Ack=1 Win=64256 Len=40 TSval=3858963531 TSecr=2016780403"
"33","14.031180426","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=601 Win=65152 Len=0 TSval=2016781404 TSecr=3858963531"
"34","15.032676046","192.168.64.3","192.168.64.2","TCP","108","56330  >  5000 [PSH, ACK] Seq=601 Ack=1 Win=64256 Len=40 TSval=3858964533 TSecr=2016781404"
"35","15.032784718","192.168.64.2","192.168.64.3","TCP","68","5000  >  56330 [ACK] Seq=1 Ack=641 Win=65152 Len=0 TSval=2016782405 TSecr=3858964533"
