"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.64.3","192.168.64.2","TCP","76","59102  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3858789598 TSecr=0 WS=128"
"2","0.000043917","192.168.64.2","192.168.64.3","TCP","76","5000  >  59102 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2016607471 TSecr=3858789598 WS=128"
"3","0.000522460","192.168.64.3","192.168.64.2","TCP","68","59102  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3858789598 TSecr=2016607471"
"4","0.000808419","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=40 TSval=3858789598 TSecr=2016607471"
"5","0.000833878","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=41 Win=65152 Len=0 TSval=2016607472 TSecr=3858789598"
"6","1.004075565","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=41 Ack=1 Win=64256 Len=40 TSval=3858790601 TSecr=2016607472"
"7","1.004268690","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=81 Win=65152 Len=0 TSval=2016608476 TSecr=3858790601"
"8","2.005593371","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=81 Ack=1 Win=64256 Len=40 TSval=3858791602 TSecr=2016608476"
"9","2.005710621","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=121 Win=65152 Len=0 TSval=2016609477 TSecr=3858791602"
"10","3.006729133","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=121 Ack=1 Win=64256 Len=40 TSval=3858792604 TSecr=2016609477"
"11","3.006813758","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=161 Win=65152 Len=0 TSval=2016610478 TSecr=3858792604"
"12","4.008784897","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=161 Ack=1 Win=64256 Len=40 TSval=3858793605 TSecr=2016610478"
"13","4.008865523","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=201 Win=65152 Len=0 TSval=2016611480 TSecr=3858793605"
"14","5.011720996","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=201 Ack=1 Win=64256 Len=40 TSval=3858794609 TSecr=2016611480"
"15","5.011812622","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=241 Win=65152 Len=0 TSval=2016612483 TSecr=3858794609"
"16","6.014912637","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=241 Ack=1 Win=64256 Len=40 TSval=3858795612 TSecr=2016612483"
"17","6.014976054","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=281 Win=65152 Len=0 TSval=2016613486 TSecr=3858795612"
"18","7.016754773","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=281 Ack=1 Win=64256 Len=40 TSval=3858796613 TSecr=2016613486"
"19","7.016851357","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=321 Win=65152 Len=0 TSval=2016614488 TSecr=3858796613"
"20","8.019841995","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=321 Ack=1 Win=64256 Len=40 TSval=3858797616 TSecr=2016614488"
"21","8.019933704","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=361 Win=65152 Len=0 TSval=2016615491 TSecr=3858797616"
"22","9.022615382","192.168.64.3","192.168.64.2","TCP","108","59102  >  5000 [PSH, ACK] Seq=361 Ack=1 Win=64256 Len=40 TSval=3858798619 TSecr=2016615491"
"23","9.022721966","192.168.64.2","192.168.64.3","TCP","68","5000  >  59102 [ACK] Seq=1 Ack=401 Win=65152 Len=0 TSval=2016616494 TSecr=3858798619"
